"brand","model","trim","year","body_type","fuel_type","transmission","engine_size","seat_count","drivetrain","price","mileage","origin","color","city","posted_date","source","url"
"FORD","ECOSPORT","TITANIUM",2018,"SUV","Xăng","Số tự động",1.5,5,"FWD - Dẫn động cầu trước",385000000,70000,"Lắp ráp trong nước","Đỏ","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-ford-ecosport-titanium-1.5l-at-2018-6700332"
"TOYOTA","INNOVA","CROSS",2025,"Crossover","Xăng","Số tự động",2,8,"FWD - Dẫn động cầu trước",815000000,NA,"Nhập khẩu","Đen","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-toyota-innova-cross-2.0-cvt-2025-6264837"
"MAZDA","CX5","2WD",2019,"SUV","Xăng","Số tự động",2.5,5,"FWD - Dẫn động cầu trước",599000000,81000,"Lắp ráp trong nước","Đen","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-mazda-cx5-2.5-at-2wd-2019-6834505"
"MERCEDES BENZ","C","CLASS C200 EXCLUSIVE",2020,"Sedan","Xăng","Số tự động",2,5,"RFD - Dẫn động cầu sau",919000000,23000,"Lắp ráp trong nước","Đen","TP HCM","05-06-2026","bonbanh.com","https://bonbanh.com/xe-mercedes_benz-c_class-c200-exclusive-2020-6806003"
"MAZDA","CX5","DELUXE",2026,"SUV","Xăng","Số tự động",2,5,"FWD - Dẫn động cầu trước",699000000,NA,"Lắp ráp trong nước","Trắng","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-mazda-cx5-deluxe-2.0-at-2026-6725702"
"VINFAST","VF5","PLUS",2026,"SUV","Điện","Số tự động",NA,5,"FWD - Dẫn động cầu trước",455000000,NA,"Lắp ráp trong nước","Trắng","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-vinfast-vf5-plus-2026-6692319"
"MAZDA","3","SPORT PREMIUM",2020,"Hatchback","Xăng","Số tự động",1.5,5,"FWD - Dẫn động cầu trước",515000000,84000,"Lắp ráp trong nước","Đỏ","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-mazda-3-1.5l-sport-premium-2020-6587856"
"FORD","TRANSIT","PREMIUM",2026,"Van/Minivan","Dầu","Số tay",2.3,16,"RFD - Dẫn động cầu sau",909000000,NA,"Lắp ráp trong nước","Bạc","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-ford-transit-premium-2026-6401603"
"VINFAST","LIMO","GREEN",2026,"SUV","Điện","Số tự động",NA,7,"FWD - Dẫn động cầu trước",644000000,NA,"Lắp ráp trong nước","Bạc","Đà Nẵng","05-06-2026","bonbanh.com","https://bonbanh.com/xe-vinfast-limo-green-at-2026-6801599"
"FORD","EVEREST","PLATINUM 4X4",2025,"SUV","Dầu","Số tự động",2,7,"4WD - Dẫn động 4 bánh",1555000000,18000,"Nhập khẩu","Đen","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-ford-everest-platinum-2.0l-4x4-at-2025-6778638"
"KIA","MORNING","DELUXE",2020,"Hatchback","Xăng","Số tự động",1.25,5,"FWD - Dẫn động cầu trước",258000000,65000,"Lắp ráp trong nước","Đỏ","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-kia-morning-deluxe-2020-6776746"
"BMW","X5","XDRIVE40I M SPORT",2026,"SUV","Xăng","Số tự động",3,5,"AWD - 4 bánh toàn thời gian",4349000000,NA,"Lắp ráp trong nước","Xám","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-bmw-x5-xdrive40i-m-sport-2026-6688814"
"MAZDA","CX8","LUXURY",2026,"SUV","Xăng","Số tự động",2.5,7,"FWD - Dẫn động cầu trước",919000000,NA,"Lắp ráp trong nước","Đỏ","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-mazda-cx8-luxury-2.5-at-2026-6027410"
"HONDA","CITY","L",2026,"Sedan","Xăng","Số tự động",1.5,5,"FWD - Dẫn động cầu trước",539000000,NA,"Lắp ráp trong nước","Trắng","Hải Phòng","05-06-2026","bonbanh.com","https://bonbanh.com/xe-honda-city-l-1.5-at-2026-5414776"
"MAZDA","CX5","AWD",2018,"SUV","Xăng","Số tự động",2.5,5,"AWD - 4 bánh toàn thời gian",565000000,55000,"Lắp ráp trong nước","Trắng","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-mazda-cx5-2.5-at-awd-2018-6834504"
"MERCEDES BENZ","GLB","35 4MATIC",2022,"SUV","Xăng","Số tự động",2,7,"AWD - 4 bánh toàn thời gian",1659000000,27000,"Nhập khẩu","Đỏ","TP HCM","05-06-2026","bonbanh.com","https://bonbanh.com/xe-mercedes_benz-glb-35-4matic-2022-6810389"
"TOYOTA","COROLLA","ALTIS V",2022,"Sedan","Xăng","Số tự động",1.8,5,"FWD - Dẫn động cầu trước",679000000,20000,"Nhập khẩu","Đen","TP HCM","05-06-2026","bonbanh.com","https://bonbanh.com/xe-toyota-corolla_altis-1.8v-2022-6813521"
"TOYOTA","VIOS","G",2019,"Sedan","Xăng","Số tự động",1.5,5,"FWD - Dẫn động cầu trước",355000000,99000,"Lắp ráp trong nước","Đen","Bình Dương","05-06-2026","bonbanh.com","https://bonbanh.com/xe-toyota-vios-1.5g-2019-6807177"
"TOYOTA","VIOS","G",2021,"Sedan","Xăng","Số tự động",1.5,5,"FWD - Dẫn động cầu trước",399000000,118,"Lắp ráp trong nước","Vàng","Bình Dương","05-06-2026","bonbanh.com","https://bonbanh.com/xe-toyota-vios-g-1.5-cvt-2021-6807057"
