"brand","model","trim","year","body_type","fuel_type","transmission","engine_size","seat_count","drivetrain","price","mileage","origin","color","city","posted_date","source","url","price_raw","price_scale","age","age_group","is_high_price","is_high_mileage"
"FORD","ECOSPORT","TITANIUM",2018,"SUV","Xăng","Automatic","1.5","5","FWD - Dẫn động cầu trước",3.85e+08,70000,"Lắp ráp trong nước","Đỏ","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-ford-ecosport-titanium-1.5l-at-2018-6700332",3.85e+08,"Original scale",8,"8-12 nam",FALSE,FALSE
"MAZDA","CX5","2WD",2019,"SUV","Xăng","Automatic","2.5","5","FWD - Dẫn động cầu trước",5.99e+08,81000,"Lắp ráp trong nước","Đen","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-mazda-cx5-2.5-at-2wd-2019-6834505",5.99e+08,"Original scale",7,"4-7 nam",FALSE,TRUE
"MERCEDES BENZ","C","CLASS C200 EXCLUSIVE",2020,"Sedan","Xăng","Automatic","2","5","RFD - Dẫn động cầu sau",9.19e+08,23000,"Lắp ráp trong nước","Đen","TP HCM","05-06-2026","bonbanh.com","https://bonbanh.com/xe-mercedes_benz-c_class-c200-exclusive-2020-6806003",9.19e+08,"Original scale",6,"4-7 nam",FALSE,FALSE
"MAZDA","3","SPORT PREMIUM",2020,"Hatchback","Xăng","Automatic","1.5","5","FWD - Dẫn động cầu trước",5.15e+08,84000,"Lắp ráp trong nước","Đỏ","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-mazda-3-1.5l-sport-premium-2020-6587856",5.15e+08,"Original scale",6,"4-7 nam",FALSE,TRUE
"FORD","EVEREST","PLATINUM 4X4",2025,"SUV","Dầu","Automatic","2","7","4WD - Dẫn động 4 bánh",1.555e+09,18000,"Nhập khẩu","Đen","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-ford-everest-platinum-2.0l-4x4-at-2025-6778638",1.555e+09,"Original scale",1,"0-3 nam",TRUE,FALSE
"KIA","MORNING","DELUXE",2020,"Hatchback","Xăng","Automatic","1.25","5","FWD - Dẫn động cầu trước",2.58e+08,65000,"Lắp ráp trong nước","Đỏ","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-kia-morning-deluxe-2020-6776746",2.58e+08,"Original scale",6,"4-7 nam",FALSE,FALSE
"MAZDA","CX5","AWD",2018,"SUV","Xăng","Automatic","2.5","5","AWD - 4 bánh toàn thời gian",5.65e+08,55000,"Lắp ráp trong nước","Trắng","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-mazda-cx5-2.5-at-awd-2018-6834504",5.65e+08,"Original scale",8,"8-12 nam",FALSE,FALSE
"MERCEDES BENZ","GLB","35 4MATIC",2022,"SUV","Xăng","Automatic","2","7","AWD - 4 bánh toàn thời gian",1.659e+09,27000,"Nhập khẩu","Đỏ","TP HCM","05-06-2026","bonbanh.com","https://bonbanh.com/xe-mercedes_benz-glb-35-4matic-2022-6810389",1.659e+09,"Original scale",4,"4-7 nam",TRUE,FALSE
"TOYOTA","COROLLA","ALTIS V",2022,"Sedan","Xăng","Automatic","1.8","5","FWD - Dẫn động cầu trước",6.79e+08,20000,"Nhập khẩu","Đen","TP HCM","05-06-2026","bonbanh.com","https://bonbanh.com/xe-toyota-corolla_altis-1.8v-2022-6813521",6.79e+08,"Original scale",4,"4-7 nam",FALSE,FALSE
"TOYOTA","VIOS","G",2019,"Sedan","Xăng","Automatic","1.5","5","FWD - Dẫn động cầu trước",3.55e+08,99000,"Lắp ráp trong nước","Đen","Bình Dương","05-06-2026","bonbanh.com","https://bonbanh.com/xe-toyota-vios-1.5g-2019-6807177",3.55e+08,"Original scale",7,"4-7 nam",FALSE,TRUE
