"brand","so_luong","trung_binh","trung_vi","nho_nhat","lon_nhat","phuong_sai","do_lech_chuan"
"MERCEDES BENZ",671,1896274217.58569,1.399e+09,1.3e+08,9.679e+09,2492992751558155776,1578921388.65688
"TOYOTA",623,1001850722.3114,5.9e+08,9.5e+07,5.699e+09,1312582252599959808,1145679821.15422
"HYUNDAI",414,645304347.826087,5.85e+08,9.6e+07,1.48e+09,82617117801873888,287431935.946363
"FORD",401,718032418.952618,6.55e+08,5.5e+07,1.89e+09,138668741446384032,372382520.328739
"KIA",400,672082500,5.6e+08,5.8e+07,1.95e+09,158331534530075200,397908952.563366
"VINFAST",335,535038805.970149,5.75e+08,1.98e+08,1.32e+09,54453773938689784,233353324.250352
"LEXUS",276,3280536231.88406,2.45e+09,2.88e+08,9.29e+09,5302916184137022464,2302806154.26853
"MAZDA",258,561794573.643411,5.5e+08,6.8e+07,1.05e+09,28150926507405060,167782378.417416
"MITSUBISHI",164,494975609.756098,482500000,1.38e+08,1.069e+09,24315201855454136,155933325.03174
"BMW",160,1710812500,1.439e+09,2.5e+08,4.88e+09,1142664090408804992,1068954671.8214
"HONDA",152,598789473.684211,5.69e+08,1.9e+08,1.195e+09,61874167305681424,248745185.492466
"PORSCHE",103,3497825242.71845,3.35e+09,7.5e+08,9.979e+09,3069881518180087808,1752107735.89414
"LANDROVER",76,3372289473.68421,2.399e+09,4.99e+08,1.18e+10,6605262021754386432,2570070431.28284
"MG",64,459328125,436500000,2.59e+08,6.8e+08,11234446180555556,105992670.409588
"AUDI",52,1033980769.23077,9.99e+08,2.95e+08,2.35e+09,281613823152337856,530672990.788431
"VOLVO",43,1638837209.30233,1.568e+09,9.99e+08,2.999e+09,189943901439645632,435825540.141518
"VOLKSWAGEN",39,1421948717.94872,1.879e+09,1.7e+08,2.379e+09,546342470985155200,739149829.862089
"SUZUKI",33,425848484.848485,3.99e+08,2e+08,7.89e+08,24955007575757576,157971540.398129
"CHEVROLET",32,445125000,242500000,7.5e+07,3.7e+09,492316370967741952,701652599.915187
"NISSAN",28,424035714.285714,417500000,2.3e+08,6.5e+08,13642776455026456,116802296.44586
"PEUGEOT",23,635217391.304348,5.65e+08,2.68e+08,1.2e+09,58009996047430832,240852643.845632
"BENTLEY",18,5041833333.33333,3.299e+09,6.36e+08,1.35e+10,21051046970588233728,4588141995.46922
"MINI",15,1431533333.33333,1.55e+09,6.88e+08,2.579e+09,249273552380952384,499273023.886683
"ROLLS ROYCE",11,10139545454.5455,3.996e+09,3.58e+09,3.3999e+10,1.36765001472727e+20,11694656962.5931
"CADILLAC",10,2915900000,2.78e+09,2.55e+09,3.29e+09,104319211111111104,322984846.565766
"JAGUAR",10,731800000,7.59e+08,5.76e+08,8.9e+08,10361288888888888,101790416.488434
"MASERATI",7,2421857142.85714,1.999e+09,1.585e+09,4.879e+09,1305370476190476288,1142528107.39626
"JEEP",6,2462333333.33333,2.519e+09,1.999e+09,2.699e+09,82626666666666672,287448546.120287
"INFINITI",4,771750000,6.79e+08,5.3e+08,1.199e+09,8.630425e+16,293775849.926436
"SMART",4,347250000,3.25e+08,2.89e+08,4.5e+08,5396916666666667,73463709.861854
"ISUZU",4,288250000,3e+08,1.98e+08,3.55e+08,4.89225e+15,69944620.9511496
"LINCOLN",3,4.51e+09,4.45e+09,3.6e+09,5.48e+09,8.863e+17,941435074.766178
"THACO",2,7.85e+08,7.85e+08,1.8e+08,1.39e+09,7.3205e+17,855599205.235723
"ACURA",2,7e+08,7e+08,2.8e+08,1.12e+09,3.528e+17,593969696.1967
"CITROEN",2,644500000,644500000,2.9e+08,9.99e+08,2.513405e+17,501338707.861262
"DAEWOO",2,33500000,33500000,2.8e+07,3.9e+07,6.05e+13,7778174.59305202
"FERRARI",1,1.3e+10,1.3e+10,1.3e+10,1.3e+10,NA,NA
"LAMBORGHINI",1,1.28e+10,1.28e+10,1.28e+10,1.28e+10,NA,NA
"PONTIAC",1,1.85e+09,1.85e+09,1.85e+09,1.85e+09,NA,NA
"GAC",1,6.2e+08,6.2e+08,6.2e+08,6.2e+08,NA,NA
"OMODA",1,4.95e+08,4.95e+08,4.95e+08,4.95e+08,NA,NA
"FIAT",1,2.6e+08,2.6e+08,2.6e+08,2.6e+08,NA,NA
"ZOTYE",1,2.15e+08,2.15e+08,2.15e+08,2.15e+08,NA,NA
"SSANGYONG",1,1.45e+08,1.45e+08,1.45e+08,1.45e+08,NA,NA
