"brand","is_high_price","so_luong","tong_nhom","xac_suat","xac_suat_pct"
"ROLLS ROYCE","TRUE",11,11,1,"100%"
"CADILLAC","TRUE",10,10,1,"100%"
"MASERATI","TRUE",7,7,1,"100%"
"JEEP","TRUE",6,6,1,"100%"
"LINCOLN","TRUE",3,3,1,"100%"
"FERRARI","TRUE",1,1,1,"100%"
"LAMBORGHINI","TRUE",1,1,1,"100%"
"PONTIAC","TRUE",1,1,1,"100%"
"PORSCHE","TRUE",95,103,0.922330097087379,"92.23%"
"BENTLEY","TRUE",16,18,0.888888888888889,"88.89%"
"LANDROVER","TRUE",66,76,0.868421052631579,"86.84%"
"LEXUS","TRUE",235,276,0.851449275362319,"85.14%"
"VOLVO","TRUE",32,43,0.744186046511628,"74.42%"
"MINI","TRUE",10,15,0.666666666666667,"66.67%"
"VOLKSWAGEN","TRUE",21,39,0.538461538461538,"53.85%"
"BMW","TRUE",86,160,0.5375,"53.75%"
"MERCEDES BENZ","TRUE",339,671,0.50521609538003,"50.52%"
"THACO","TRUE",1,2,0.5,"50%"
"AUDI","TRUE",14,52,0.269230769230769,"26.92%"
"TOYOTA","TRUE",99,623,0.158908507223114,"15.89%"
"KIA","TRUE",29,400,0.0725,"7.25%"
"FORD","TRUE",29,401,0.0723192019950125,"7.23%"
"CHEVROLET","TRUE",2,32,0.0625,"6.25%"
"HYUNDAI","TRUE",2,414,0.00483091787439614,"0.48%"
