"brand","so_luong","trung_binh","trung_vi","nho_nhat","lon_nhat","phuong_sai","do_lech_chuan"
"TOYOTA",4318,676122211.819824,4.59e+08,5e+07,7.89e+09,761540694388711936,872662990.156402
"FORD",2713,630771654.611133,5.8e+08,5e+07,5.799e+09,171570268858977728,414210416.16427
"KIA",2151,525559203.588564,4.5e+08,5e+07,1.95e+09,128031855224645456,357815392.660301
"HYUNDAI",2136,495977748.761236,4.3e+08,5.2e+07,1.59e+09,73684661455122240,271449187.61183
"MITSUBISHI",1559,448980298.068633,4.7e+08,5e+07,4.8e+09,41017698727332944,202528266.489725
"MERCEDES BENZ",1414,1445514404.45474,1.045e+09,6.8e+07,9.8e+09,1828297485568390656,1352145511.98027
"MAZDA",1283,518167892.629774,5.15e+08,5e+07,2.5e+09,33827598749023260,183922806.495071
"VINFAST",1191,512842818.654912,5.3e+08,5e+07,2.82e+09,59790278901898928,244520508.141749
"HONDA",931,517073900.355533,4.79e+08,6e+07,2.5e+09,59377479826711824,243674947.064141
"CHEVROLET",602,238309083.255814,1.68e+08,5e+07,3.7e+09,78184890847534848,279615612.667703
"LEXUS",589,3184161290.32088,2.379e+09,1.45e+08,1.2666e+10,6126506315761537024,2475178037.18471
"BMW",464,1240006491.90302,1.039e+09,7.5e+07,6.96e+09,1081410044573460096,1039908671.26564
"SUZUKI",365,363517809.035616,3.9e+08,6.8e+07,7.89e+08,14944453558236416,122247509.41527
"MG",333,417456456.486487,4.15e+08,7.9e+07,8.39e+08,10098218732432186,100489893.683057
"NISSAN",244,378781807.827869,372500000,5.9e+07,3.599e+09,62319687958216440,249639115.441103
"PEUGEOT",237,624704693.434599,5.95e+08,55555555,1.255e+09,34469715680623880,185660215.664595
"MERCEDES",227,1876629955.94714,1.39e+09,7e+07,1.2888e+10,3925223897859734016,1981217781.53229
"AUDI",197,939096446.700507,7.35e+08,2.45e+08,3.68e+09,442262475344452480,665028176.353794
"PORSCHE",173,3098531791.90751,2.9e+09,2.9e+08,9.979e+09,3489315959739211776,1867971081.0768
"LANDROVER",125,2576416000,1.95e+09,1.65e+08,1.18e+10,6033897825548387328,2456399361.98257
"VOLKSWAGEN",118,1149447457.62712,1.214e+09,1.7e+08,2.379e+09,501633225762712000,708260704.658046
"DAEWOO",96,99135416.6666667,9.5e+07,5e+07,1.88e+08,1141444627192982,33785272.3415541
"ISUZU",78,3.57e+08,3.45e+08,6.5e+07,3e+09,121572285714285712,348672175.13631
"VOLVO",74,1647162162.16216,1.573e+09,9.09e+08,2.999e+09,175725644576082912,419196427.198614
