brand,model,trim,year,body_type,fuel_type,transmission,engine_size,seat_count,drivetrain,price,mileage,origin,color,city,posted_date,source,url
MERCEDES,GLC200,,2019,,Xăng,Tự động,,,,849000000,96,Trong nước,Trắng,Tp Hồ Chí Minh,13-06-2026,banxehoicu.vn,https://banxehoicu.vn/ban-oto-cu/mercedes-benz/glc200/mercedes-glc200-model-2019-mau-trang-cuc-dep-103730.html
MERCEDES,C200,Avantgarde,2015,,Xăng,Tự động,,,,550000000,47000,Trong nước,Đen,Tp Hồ Chí Minh,13-06-2026,banxehoicu.vn,https://banxehoicu.vn/ban-oto-cu/mercedes-benz/c200/ban-mercedes-benz-c200-model-2016-mau-den-sieu-dep-103729.html
MERCEDES,C200,Sport,2016,,Xăng,Tự động,,,,555000000,47000,Trong nước,Đen,Tp Hồ Chí Minh,13-06-2026,banxehoicu.vn,https://banxehoicu.vn/ban-oto-cu/mercedes-benz/c200/ban-mercedes-benz-c200-model-2016-mau-den-sieu-dep-103728.html
MERCEDES,C250,Exclusive,2015,,Xăng,Tự động,,,,555000000,84,Trong nước,Bạc,Tp Hồ Chí Minh,13-06-2026,banxehoicu.vn,https://banxehoicu.vn/ban-oto-cu/mercedes-benz/c250/ban-mercedes-c250-exclusive-cu-model-2015-mau-diamond-silver-103687.html
MERCEDES,C250,Exclusive,2015,,Xăng,Tự động,,,,550000000,80000,Trong nước,Bạc,Tp Hồ Chí Minh,13-06-2026,banxehoicu.vn,https://banxehoicu.vn/ban-oto-cu/mercedes-benz/c250/ban-mercedes-c250-exclusive-2015-mau-bac-cuc-hiem-103688.html
MERCEDES,C300,AMG Plus,2019,,Xăng,Tự động,,,,799000000,65000,Trong nước,Trắng,Tp Hồ Chí Minh,13-06-2026,banxehoicu.vn,https://banxehoicu.vn/ban-oto-cu/mercedes-benz/c300/mercedes-c300-amg-2019-trang-ngoc-trinh-bao-dep-103689.html
MERCEDES,C300,AMG,2018,,Xăng,Tự động,,,,790000000,60000,Trong nước,Trắng,Tp Hồ Chí Minh,13-06-2026,banxehoicu.vn,https://banxehoicu.vn/ban-oto-cu/mercedes-benz/c300/mercedes-c300-amg-2018-trang-ngoc-trinh-bao-dep-103690.html
AUDI,Q2,Sport,2019,,Xăng,Tự động,,,,779000000,75000,Nhập khẩu,Vàng,Tp Hồ Chí Minh,13-06-2026,banxehoicu.vn,https://banxehoicu.vn/ban-oto-cu/audi/q2/ban-audi-q2-2019-mau-vang-tang-iphone-17-promax-103693.html
AUDI,Q2,S Line,2019,,Xăng,Tự động,,,,780000000,75000,Nhập khẩu,Vàng,Tp Hồ Chí Minh,13-06-2026,banxehoicu.vn,https://banxehoicu.vn/ban-oto-cu/audi/q2/ban-audi-q2-mau-vang-xe-sieu-luot-mau-son-doc-quyen-103694.html
AUDI,TT,RS Limited Edition,2016,,Xăng,Tự động,,,,998000000,50000,Nhập khẩu,Trắng,Tp Hồ Chí Minh,13-06-2026,banxehoicu.vn,https://banxehoicu.vn/ban-oto-cu/audi/tt/audi-tt-model-2016-coupe-the-thao-2-cua-103695.html
