brand,model,trim,year,body_type,fuel_type,transmission,engine_size,seat_count,drivetrain,price,mileage,origin,color,city,posted_date,source,url
HYUNDAI,ACCENT,1.4 MT,2023,,Xăng,Số sàn,,5,,340000000,12580,,,Bình Phước,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-dong-xoai-binh-phuoc/132894076.htm
MITSUBISHI,XPANDER,Premium 1.5 AT,2022,SUV,Xăng,Tự động,,7,,495000000,85000,Nhập khẩu,,Bà Rịa - Vũng Tàu,14-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-huyen-chau-duc-ba-ria-vung-tau/132201355.htm
MERCEDES BENZ,C CLASS,C200,2018,Sedan,Hybrid,Tự động,0.18,5,RWD,660000000,60000,Nhập khẩu,,Hà Nội,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-huyen-gia-lam-ha-noi/132895930.htm
MG,G50,,2025,,Xăng,Số sàn,,,,460000000,600,Nhập khẩu,,Hà Nội,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-dong-da-ha-noi/132897962.htm
VINFAST,VF5,,2026,,Điện,Tự động,,,,456390000,,Trong nước,,Tp Hồ Chí Minh,12-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-12-tp-ho-chi-minh/132880530.htm?ad_delivery=true&event_source=ad_list
TOYOTA,COROLLA CROSS,1.8G,2022,SUV,Xăng,Tự động,,5,,658000000,14000,,,Tp Hồ Chí Minh,30-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/132637253.htm
MERCEDES BENZ,E CLASS,E200 Exclusive,2022,Sedan,Xăng,Tự động,0.2,5,RWD,1649000000,31999,Trong nước,,Tp Hồ Chí Minh,11-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-binh-thanh-tp-ho-chi-minh/132873389.htm
MERCEDES BENZ,CLA CLASS,CLA 200,2014,,Xăng,Tự động,0.16,5,FWD,399000000,80000,Nhập khẩu,,Tp Hồ Chí Minh,14-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-binh-tan-tp-ho-chi-minh/132280912.htm
KIA,CERATO,2.0 AT PREMIUM,2021,Sedan,Xăng,Tự động,,5,,465000000,60000,Trong nước,,Tp Hồ Chí Minh,09-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-tan-phu-tp-ho-chi-minh/132825129.htm?ad_delivery=true&event_source=ad_list
BMW,3 SERIES,,2019,Sedan,Xăng,Tự động,,5,,959000000,1,Nhập khẩu,,Tp Hồ Chí Minh,14-04-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-8-tp-ho-chi-minh/131605718.htm
TOYOTA,FORTUNER,2.7V 4x2 AT,2017,,Xăng,Tự động,,7,,619000000,129000,Nhập khẩu,,Tp Hồ Chí Minh,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-12-tp-ho-chi-minh/132897927.htm
HYUNDAI,ELANTRA,2.0 AT Cao cấp,2025,Sedan,Xăng,Tự động,,5,,149000000,,Trong nước,,Tp Hồ Chí Minh,14-04-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-12-tp-ho-chi-minh/131974007.htm
VINFAST,LIMO GREEN,,2026,MPV,Điện,Tự động,,7,,654590000,,Trong nước,,Tp Hồ Chí Minh,12-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/130441612.htm?ad_delivery=true&event_source=ad_list
TOYOTA,LAND CRUISER LC300,,2024,SUV,Xăng,Tự động,,7,,5080000000,32000,Nhập khẩu,,Hà Nội,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-bac-tu-liem-ha-noi/132897882.htm
VINFAST,VF6,Plus,2025,SUV,Điện,Tự động,,5,,673000000,,Trong nước,,Tp Hồ Chí Minh,15-03-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/130163604.htm
VINFAST,VF5,Plus,2025,SUV,Điện,Tự động,,5,,435000000,18000,Trong nước,,Tp Hồ Chí Minh,21-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/124371224.htm
VINFAST,VF5 PLUS,,2026,SUV,Điện,Tự động,,5,,440000000,,Trong nước,,Hà Nội,14-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-dong-da-ha-noi/124488962.htm?ad_delivery=true&event_source=ad_list
VINFAST,LIMO GREEN,,2025,,Điện,Tự động,,7,,629000000,,Trong nước,,Tiền Giang,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-my-tho-tien-giang/132267866.htm
MAZDA,CX 3,1.5 Deluxe,2021,SUV,Xăng,Tự động,,,,420000000,15000,Nhập khẩu,,Đà Nẵng,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-cam-le-da-nang/132878246.htm
CHEVROLET,TRAILBLAZER,LT 2.5L VGT 4x2 AT,2018,SUV,Dầu,Tự động,,7,,383000000,100,,,Tp Hồ Chí Minh,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/132897808.htm
TOYOTA,INNOVA,2.0E,2015,,Xăng,Số sàn,,7,,275000000,152000,,,Tp Hồ Chí Minh,28-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-binh-tan-tp-ho-chi-minh/132595612.htm
TOYOTA,COROLLA CROSS,1.8V,2023,SUV,Xăng,Tự động,,5,,729000000,35000,Nhập khẩu,,Tp Hồ Chí Minh,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-12-tp-ho-chi-minh/132897800.htm
MAZDA,2,1.5 AT Sedan,2015,Hatchback,Xăng,Tự động,0.1,5,FWD,250000000,110000,Nhập khẩu,,Tp Hồ Chí Minh,14-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/132183627.htm
MITSUBISHI,TRITON,,2022,,Dầu,Tự động,,5,,479000000,69700,,,Đồng Tháp,11-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-huyen-thap-muoi-dong-thap/132873524.htm
