"brand","model","trim","year","body_type","fuel_type","transmission","engine_size","seat_count","drivetrain","price","mileage","origin","color","city","posted_date","source","url"
"GEELY COOLRAY FLAGSHIP 2025 MÀU XÁM",,,,"SUV","Xăng","Số tự động",,"5",,"Kênh người bánKênh người mua",,,,"Số 3 – 5, Đ. Nguyễn Văn Linh, Gia Thụy, Long Biên, Hà Nội","một năm trước","carpla.vn","https://carpla.vn/xe/geely-coolray-flagship-2025-mau-xam-f8ulz"
"FORD TRANSIT 2018 - XE CÁ NHÂN 1 CHỦ",,,,"Van/Minibus","Dầu","Số sàn","2.4","16","5MT","Kênh người bánKênh người mua",,,,"1808 QL1A, Tân Túc, Bình Chánh, Hồ Chí Minh","một năm trước","carpla.vn","https://carpla.vn/xe/ford-transit-2018-f8vqb"
"HYUNDAI SANTAFE TURBO 2.5 TRẮNG",,,,"SUV","Xăng","Số tự động","2497","7","8DCT","Kênh người bánKênh người mua",,,,"359 Tây Sơn, Quang Trung, Quy Nhơn, Bình Định","một năm trước","carpla.vn","https://carpla.vn/xe/hyundai-santafe-turbo-25-trang-f8v7w"
"Hyundai Venue Đà Nẵng",,,,"SUV","Xăng","Số tự động","998","5","7DCT","Kênh người bánKênh người mua",,,,"86 Duy Tân, Hòa Cường Nam, Hải Châu, Đà Nẵng","một năm trước","carpla.vn","https://carpla.vn/xe/hyundai-venue-da-nang-f8vkk"
"LYNK & CO 06 1.5 TURBO - MỚI 100 % - XÁM XI MĂNG - 2024",,,,"SUV","Xăng","Số tự động",,"5",,"Kênh người bánKênh người mua",,,,"Tổ 4, Cam Giá, Thái Nguyên, Thái Nguyên","một năm trước","carpla.vn","https://carpla.vn/xe/lynk-co-06-15-turbo-f8vl3"
"HYUNDAI STARGAZER 2025 TRẮNG",,,,"MPV","Xăng","Số tự động","1.497","7","CVT","Kênh người bánKênh người mua",,,,"377A Phan Đình Phùng, Duy Tân, Kon Tum, Kon Tum","một năm trước","carpla.vn","https://carpla.vn/xe/hyundai-stargazer-2025-trang-f8urk"
"TOYOTA WIGO 1.2G (MT) 2019 - 112.000 Km",,,,"Sedan","Xăng","Số sàn","1.2","5","CVT","Kênh người bánKênh người mua",,,,"K2-0, Đường Võ Nguyên Giáp, KV. Thạnh Thuận, Phú Thứ, Cái Răng, Cần Thơ","một năm trước","carpla.vn","https://carpla.vn/xe/toyota-wigo-12g-mt-2019-f8v31"
"FORD RANGER XLS 4X4AT 2025",,,,"Pickup","Dầu","Số tự động","1996","5","10MT","Kênh người bánKênh người mua",,,,"đường Võ Nguyên Giáp, Phú Thứ, Cái Răng, Cần Thơ","một năm trước","carpla.vn","https://carpla.vn/xe/ford-ranger-xls-4x4at-2025-f8uuh"
"SUZUKI SWIFT 2019 - 57,000KM",,,,"Hatchback","Xăng","Số tự động",,"5","CVT","Kênh người bánKênh người mua",,,,"138 Phạm Văn Đồng, Xuân Đỉnh, Bắc Từ Liêm, Hà Nội","8 tháng trước","carpla.vn","https://carpla.vn/xe/suzuki-swift-2019-f8w2f"
"LYNK & CO 06 1.5 TURBO - MỚI 100% - HỒNG LILAC - 2024",,,,"SUV","Xăng","Số tự động",,"5",,"Kênh người bánKênh người mua",,,,"Tổ 4, Cam Giá, Thái Nguyên, Thái Nguyên","một năm trước","carpla.vn","https://carpla.vn/xe/lynk-co-06-15-turbo-f8vm6"
"HYUNDAI TUCSON TIÊU CHUẨN 2.0- TRẮNG",,,,"SUV","Xăng","Số tự động",,"5","7DCT","Kênh người bánKênh người mua",,,,"359 Tây Sơn, Quang Trung, Quy Nhơn, Bình Định","10 tháng trước","carpla.vn","https://carpla.vn/xe/hyundai-tucson-tieu-chun-20-trang-f8web"
"MITSUBISHI XPANDER 1.5AT 2019 - 92.000KM",,,"Mô tả chi tiết","SUV","Xăng","Số tự động",,"7","4AT","Kênh người bánKênh người mua",,,,"1808 QL1A, Tân Túc, Bình Chánh, Hồ Chí Minh","một năm trước","carpla.vn","https://carpla.vn/xe/mitsubishi-xpander-15at-2019-f8vqe"
"GEELY COOLRAY FLAGSHIP 2025 MÀU XANH",,,,"SUV","Xăng","Số tự động",,"5",,"Kênh người bánKênh người mua",,,,"Số 3 – 5, Đ. Nguyễn Văn Linh, Gia Thụy, Long Biên, Hà Nội","một năm trước","carpla.vn","https://carpla.vn/xe/geely-coolray-flagship-2025-mau-xanh-f8ul0"
"TOYOTA WIGO 1.2G (MT) 2019 - 133.000 KM",,,,"Sedan","Xăng","Số sàn","1.2","5","CVT","Kênh người bánKênh người mua",,,,"K2-0, Đường Võ Nguyên Giáp, KV. Thạnh Thuận, Phú Thứ, Cái Răng, Cần Thơ","một năm trước","carpla.vn","https://carpla.vn/xe/toyota-wigo-12g-mt-2019-f8v5p"
"LYNK & CO 06 1.5 TURBO - MỚI 100% - XANH SONIC- 2024",,,,"SUV","Xăng","Số tự động",,"5",,"Kênh người bánKênh người mua",,,,"Tổ 4, Cam Giá, Thái Nguyên, Thái Nguyên","một năm trước","carpla.vn","https://carpla.vn/xe/lynk-co-06-15-turbo-f8vmb"
