brand,model,trim,year,body_type,fuel_type,transmission,engine_size,seat_count,drivetrain,price,mileage,origin,color,city,posted_date,source,url
HONDA,CITY,RS,2024,Sedan,Xăng,Tự động,1.5,5,FWD,500000000,19000,Trong nước,Xám,,14-06-2026,bonbanh.com,https://bonbanh.com/xe-honda-city-rs-1.5-at-2024-6796471
KIA,K3,Luxury,2023,Sedan,Xăng,Tự động,1.6,5,FWD,510000000,40869,Trong nước,Đen,,14-06-2026,bonbanh.com,https://bonbanh.com/xe-kia-k3-luxury-1.6-at-2023-6826381
MAZDA,CX5,,2019,SUV,Xăng,Tự động,2,5,FWD,580000000,68000,Trong nước,Đỏ,,14-06-2026,bonbanh.com,https://bonbanh.com/xe-mazda-cx5-2.0-at-2019-6810607
VINFAST,FADIL,Plus,2019,Hatchback,Xăng,Tự động,1.4,5,FWD,270000000,930000,Trong nước,Ghi,,14-06-2026,bonbanh.com,https://bonbanh.com/xe-vinfast-fadil-1.4-at-plus-2019-6789840
TOYOTA,COROLLA,altis G,2012,Sedan,Xăng,Tự động,1.8,5,FWD,315000000,128618,Trong nước,Bạc,,14-06-2026,bonbanh.com,https://bonbanh.com/xe-toyota-corolla_altis-1.8g-at-2012-6629910
FORD,RANGER,Wildtrak 4x4,2015,Bán tải,Dầu,Tự động,3.2,5,4WD,425000000,14000,Nhập khẩu,Cam,,14-06-2026,bonbanh.com,https://bonbanh.com/xe-ford-ranger-wildtrak-3.2l-4x4-at-2015-6620211
TOYOTA,LAND,Cruiser VXR V6,2024,SUV,Xăng,Tự động,3.4,7,AWD,5079000000,12400,Nhập khẩu,Đen,,14-06-2026,bonbanh.com,https://bonbanh.com/xe-toyota-land_cruiser-vxr-3.5-v6-2024-6843003
BMW,4,Series 430i Convertible M Sport,2023,Mui trần,Xăng,Tự động,2,4,RWD,2698000000,26000,Nhập khẩu,Trắng,,14-06-2026,bonbanh.com,https://bonbanh.com/xe-bmw-4_series-430i-convertible-m-sport-2023-6838934
VINFAST,VF8,Plus,2026,SUV,Điện,Tự động,,5,FWD,768000000,,Trong nước,Trắng,,14-06-2026,bonbanh.com,https://bonbanh.com/xe-vinfast-vf8-plus-2026-6835562
MERCEDES BENZ,C,class C200 Avantgarde,2026,Sedan,Xăng,Tự động,1.5,5,RWD,1389000000,,Trong nước,Đen,,14-06-2026,bonbanh.com,https://bonbanh.com/xe-mercedes_benz-c_class-c200-avantgarde-2026-6798450
MERCEDES BENZ,C,class C200 Exclusive,2020,Sedan,Xăng,Tự động,2,5,RWD,969000000,48000,Trong nước,Trắng,,14-06-2026,bonbanh.com,https://bonbanh.com/xe-mercedes_benz-c_class-c200-exclusive-2020-6766198
MERCEDES BENZ,E,class E300 AMG,2019,Sedan,Xăng,Tự động,2,5,RWD,1360000000,76000,Trong nước,Trắng,,14-06-2026,bonbanh.com,https://bonbanh.com/xe-mercedes_benz-e_class-e300-amg-2019-6760335
KIA,CERATO,Premium,2019,Sedan,Xăng,Tự động,2,5,FWD,435000000,680125,Trong nước,Đen,,14-06-2026,bonbanh.com,https://bonbanh.com/xe-kia-cerato-2.0-at-premium-2019-6739822
BMW,2,Series 218i Gran Tourer,2016,Crossover,Xăng,Tự động,1.5,7,RWD,455000000,56810,Nhập khẩu,Xám,,14-06-2026,bonbanh.com,https://bonbanh.com/xe-bmw-2_series-218i-gran-tourer-2016-6713371
KIA,SELTOS,Deluxe,2026,Crossover,Xăng,Tự động,1.5,5,FWD,575000000,,Trong nước,Đen,,14-06-2026,bonbanh.com,https://bonbanh.com/xe-kia-seltos-deluxe-1.5-at-2026-6531114
VOLKSWAGEN,TOUAREG,Luxury TSI,2024,SUV,Xăng,Tự động,2,5,AWD,2768000000,,Nhập khẩu,Kem,,14-06-2026,bonbanh.com,https://bonbanh.com/xe-volkswagen-touareg-luxury-2.0-tsi-2024-5242533
FORD,RANGER,Wildtrak 4x4,2026,Bán tải,Dầu,Tự động,2,5,4WD,850000000,,Trong nước,Đen,,14-06-2026,bonbanh.com,https://bonbanh.com/xe-ford-ranger-wildtrak-2.0l-4x4-at-2026-6812697
HYUNDAI,SANTAFE,Cao cấp HTRAC,2022,SUV,Dầu,Tự động,2.2,7,AWD,1115000000,66000,Trong nước,Đen,,14-06-2026,bonbanh.com,https://bonbanh.com/xe-hyundai-santafe-cao-cap-2.2l-htrac-2022-6832537
HYUNDAI,ACCENT,,2024,Sedan,Xăng,Số tay,1.5,5,FWD,385000000,12000,Trong nước,Trắng,,14-06-2026,bonbanh.com,https://bonbanh.com/xe-hyundai-accent-1.5-mt-2024-6847961
MAZDA,CX8,Premium,2024,SUV,Xăng,Tự động,2.5,7,FWD,915000000,29000,Trong nước,Trắng,,14-06-2026,bonbanh.com,https://bonbanh.com/xe-mazda-cx8-premium-2024-6836773
